event_id,station,network,location,channel,p_polarity
1,1107,5B,--,DHZ,1
1,1108,5B,--,DHZ,1
1,1109,5B,--,DHZ,1
1,1111,5B,--,DHZ,1
1,1114,5B,--,DHZ,1
1,1118,5B,--,DHZ,1
1,1121,5B,--,DHZ,1
1,1122,5B,--,DHZ,1
1,1123,5B,--,DHZ,1
1,1125,5B,--,DHZ,-1
1,1126,5B,--,DHZ,-1
1,1130,5B,--,DHZ,1
1,1131,5B,--,DHZ,1
1,1135,5B,--,DHZ,-1
1,1136,5B,--,DHZ,-1
1,1140,5B,--,DHZ,1
1,1143,5B,--,DHZ,-1
1,1146,5B,--,DHZ,-1
1,1148,5B,--,DHZ,1
1,1151,5B,--,DHZ,-1
1,1152,5B,--,DHZ,-1
1,1153,5B,--,DHZ,-1
1,1160,5B,--,DHZ,-1
1,1161,5B,--,DHZ,-1
1,1164,5B,--,DHZ,-1
1,1166,5B,--,DHZ,1
1,1167,5B,--,DHZ,1
1,1168,5B,--,DHZ,1
1,1171,5B,--,DHZ,-1
1,1175,5B,--,DHZ,1
1,1176,5B,--,DHZ,1
1,1177,5B,--,DHZ,1
1,1178,5B,--,DHZ,1
1,1179,5B,--,DHZ,-1
1,1180,5B,--,DHZ,-1
1,1182,5B,--,DHZ,1
1,1186,5B,--,DHZ,1
1,1187,5B,--,DHZ,1
1,1192,5B,--,DHZ,1
1,1193,5B,--,DHZ,1
1,1194,5B,--,DHZ,1
1,1209,5B,--,DHZ,1
1,1210,5B,--,DHZ,1
2,1107,5B,--,DHZ,1
2,1108,5B,--,DHZ,1
2,1109,5B,--,DHZ,1
2,1111,5B,--,DHZ,1
2,1112,5B,--,DHZ,1
2,1113,5B,--,DHZ,1
2,1114,5B,--,DHZ,1
2,1116,5B,--,DHZ,1
2,1118,5B,--,DHZ,1
2,1119,5B,--,DHZ,1
2,1121,5B,--,DHZ,1
2,1122,5B,--,DHZ,1
2,1125,5B,--,DHZ,-1
2,1127,5B,--,DHZ,1
2,1128,5B,--,DHZ,1
2,1130,5B,--,DHZ,1
2,1131,5B,--,DHZ,1
2,1135,5B,--,DHZ,-1
2,1136,5B,--,DHZ,-1
2,1138,5B,--,DHZ,1
2,1139,5B,--,DHZ,1
2,1142,5B,--,DHZ,-1
2,1143,5B,--,DHZ,-1
2,1146,5B,--,DHZ,-1
2,1147,5B,--,DHZ,1
2,1148,5B,--,DHZ,1
2,1150,5B,--,DHZ,-1
2,1151,5B,--,DHZ,-1
2,1152,5B,--,DHZ,-1
2,1153,5B,--,DHZ,-1
2,1155,5B,--,DHZ,-1
2,1159,5B,--,DHZ,-1
2,1160,5B,--,DHZ,-1
2,1161,5B,--,DHZ,-1
2,1164,5B,--,DHZ,-1
2,1166,5B,--,DHZ,1
2,1168,5B,--,DHZ,-1
2,1171,5B,--,DHZ,-1
2,1177,5B,--,DHZ,1
2,1178,5B,--,DHZ,-1
2,1179,5B,--,DHZ,-1
2,1180,5B,--,DHZ,-1
2,1187,5B,--,DHZ,-1
2,1192,5B,--,DHZ,1
2,1193,5B,--,DHZ,1
2,1209,5B,--,DHZ,1
2,1210,5B,--,DHZ,1
2,1215,5B,--,DHZ,1
3,1107,5B,--,DHZ,1
3,1108,5B,--,DHZ,1
3,1109,5B,--,DHZ,1
3,1111,5B,--,DHZ,1
3,1112,5B,--,DHZ,1
3,1113,5B,--,DHZ,1
3,1114,5B,--,DHZ,1
3,1116,5B,--,DHZ,1
3,1118,5B,--,DHZ,1
3,1119,5B,--,DHZ,1
3,1120,5B,--,DHZ,1
3,1121,5B,--,DHZ,1
3,1122,5B,--,DHZ,1
3,1123,5B,--,DHZ,1
3,1125,5B,--,DHZ,-1
3,1126,5B,--,DHZ,-1
3,1127,5B,--,DHZ,-1
3,1128,5B,--,DHZ,1
3,1129,5B,--,DHZ,1
3,1130,5B,--,DHZ,1
3,1131,5B,--,DHZ,1
3,1132,5B,--,DHZ,1
3,1133,5B,--,DHZ,1
3,1135,5B,--,DHZ,-1
3,1136,5B,--,DHZ,-1
3,1138,5B,--,DHZ,1
3,1139,5B,--,DHZ,1
3,1140,5B,--,DHZ,1
3,1141,5B,--,DHZ,1
3,1142,5B,--,DHZ,1
3,1143,5B,--,DHZ,-1
3,1146,5B,--,DHZ,1
3,1147,5B,--,DHZ,1
3,1148,5B,--,DHZ,1
3,1150,5B,--,DHZ,-1
3,1151,5B,--,DHZ,-1
3,1153,5B,--,DHZ,1
3,1155,5B,--,DHZ,1
3,1157,5B,--,DHZ,1
3,1158,5B,--,DHZ,-1
3,1159,5B,--,DHZ,-1
3,1160,5B,--,DHZ,-1
3,1161,5B,--,DHZ,-1
3,1164,5B,--,DHZ,1
3,1165,5B,--,DHZ,1
3,1166,5B,--,DHZ,1
3,1167,5B,--,DHZ,1
3,1168,5B,--,DHZ,-1
3,1171,5B,--,DHZ,-1
3,1174,5B,--,DHZ,1
3,1175,5B,--,DHZ,1
3,1178,5B,--,DHZ,-1
3,1179,5B,--,DHZ,-1
3,1180,5B,--,DHZ,-1
3,1182,5B,--,DHZ,1
3,1187,5B,--,DHZ,-1
3,1190,5B,--,DHZ,1
3,1192,5B,--,DHZ,1
3,1194,5B,--,DHZ,1
3,1209,5B,--,DHZ,1
3,1210,5B,--,DHZ,1
3,1215,5B,--,DHZ,-1
