event_id, station, network, location, channel, p_polarity
     1,    1107,   5B,      --,       DHZ,     -1.0
     1,    1108,   5B,      --,       DHZ,     -1.0
     1,    1109,   5B,      --,       DHZ,     -1.0
     1,    1111,   5B,      --,       DHZ,     -1.0
     1,    1112,   5B,      --,       DHZ,     -1.0
     1,    1114,   5B,      --,       DHZ,     -1.0
     1,    1116,   5B,      --,       DHZ,     -1.0
     1,    1118,   5B,      --,       DHZ,     -1.0
     1,    1119,   5B,      --,       DHZ,     -1.0
     1,    1121,   5B,      --,       DHZ,     -1.0
     1,    1122,   5B,      --,       DHZ,     -1.0
     1,    1123,   5B,      --,       DHZ,     -1.0
     1,    1125,   5B,      --,       DHZ,      1.0
     1,    1126,   5B,      --,       DHZ,      1.0
     1,    1130,   5B,      --,       DHZ,     -1.0
     1,    1131,   5B,      --,       DHZ,     -1.0
     1,    1132,   5B,      --,       DHZ,     -1.0
     1,    1135,   5B,      --,       DHZ,      1.0
     1,    1136,   5B,      --,       DHZ,      1.0
     1,    1140,   5B,      --,       DHZ,     -1.0
     1,    1141,   5B,      --,       DHZ,     -1.0
     1,    1143,   5B,      --,       DHZ,      1.0
     1,    1146,   5B,      --,       DHZ,      1.0
     1,    1151,   5B,      --,       DHZ,      1.0
     1,    1152,   5B,      --,       DHZ,      1.0
     1,    1153,   5B,      --,       DHZ,      1.0
     1,    1155,   5B,      --,       DHZ,      1.0
     1,    1160,   5B,      --,       DHZ,      1.0
     1,    1161,   5B,      --,       DHZ,      1.0
     1,    1164,   5B,      --,       DHZ,      1.0
     1,    1166,   5B,      --,       DHZ,     -1.0
     1,    1167,   5B,      --,       DHZ,     -1.0
     1,    1168,   5B,      --,       DHZ,     -1.0
     1,    1171,   5B,      --,       DHZ,      1.0
     1,    1174,   5B,      --,       DHZ,     -1.0
     1,    1175,   5B,      --,       DHZ,     -1.0
     1,    1176,   5B,      --,       DHZ,     -1.0
     1,    1177,   5B,      --,       DHZ,     -1.0
     1,    1178,   5B,      --,       DHZ,     -1.0
     1,    1179,   5B,      --,       DHZ,      1.0
     1,    1180,   5B,      --,       DHZ,      1.0
     1,    1182,   5B,      --,       DHZ,     -1.0
     1,    1186,   5B,      --,       DHZ,     -1.0
     1,    1187,   5B,      --,       DHZ,     -1.0
     1,    1190,   5B,      --,       DHZ,     -1.0
     1,    1192,   5B,      --,       DHZ,     -1.0
     1,    1193,   5B,      --,       DHZ,     -1.0
     1,    1194,   5B,      --,       DHZ,     -1.0
     1,    1209,   5B,      --,       DHZ,     -1.0
     1,    1210,   5B,      --,       DHZ,     -1.0
